Study.name,Group,Full.name,WL.num,Sample.type,Study.stage,Days.since.Tx.start,Treatment.days,Washout.period,CFU,Adjusted.16S.Original,Culture.status,CFU_LOD,uL.template.RTP.16S.Original,cDNA.dilution.RTP.16S.Original,Median.Count.RTP.16S.Original,uL.RNA.into.RT.RTP.16S.Original,T50,T50_ci_low,T50_ci_up,T95,T95_ci_low,T95_ci_up
Gates-BC-Rel-01,BPaMZ,Gates-BC-Rel-01_3wk_Grp 5: BPaMZ_LG B,5807,mouse,On Treatment,21,21,0,30,368878894.5,NA,NA,2,10,98367.70518,2,4.567387498,4.12906636,5.005708636,5.472737181,5.034416042,5.911058319
Gates-BC-Rel-01,BPaMZ,Gates-BC-Rel-01_3wk_Grp 5: BPaMZ_LG C,5808,mouse,On Treatment,21,21,0,15,388159688.7,NA,NA,2,10,103509.2503,2,4.567387498,4.12906636,5.005708636,5.472737181,5.034416042,5.911058319
Gates-BC-Rel-01,BPaMZ,Gates-BC-Rel-01_3wk_Grp 5: BPaMZ_LG D,5809,mouse,On Treatment,21,21,0,37.5,326740674,NA,NA,2,10,87130.84637,2,4.567387498,4.12906636,5.005708636,5.472737181,5.034416042,5.911058319
Gates-BC-Rel-01,BPaMZ,Gates-BC-Rel-01_3wk_Grp 5: BPaMZ_LG E,5810,mouse,On Treatment,21,21,0,82.5,299625651.1,NA,NA,2,10,79900.17362,2,4.567387498,4.12906636,5.005708636,5.472737181,5.034416042,5.911058319
Gates-BC-Rel-01,BPaMZ,Gates-BC-Rel-01_3wk_Grp 5: BPaMZ_LG F,5811,mouse,On Treatment,21,21,0,52.5,715180888.8,NA,NA,2,10,190714.9037,2,4.567387498,4.12906636,5.005708636,5.472737181,5.034416042,5.911058319
Gates-BC-Rel-01,HRZE,Gates-BC-Rel-01_4wk_Grp 2: 2HRZE/3HR_LG A,5812,mouse,On Treatment,28,28,0,107000,273204311.4,NA,NA,2,10,72854.48303,2,17.38476672,16.85147642,17.91805701,20.83078329,20.297493,21.36407358
Gates-BC-Rel-01,HRZE,Gates-BC-Rel-01_4wk_Grp 2: 2HRZE/3HR_LG B,5813,mouse,On Treatment,28,28,0,103000,199020558.6,NA,NA,2,10,53072.14897,2,17.38476672,16.85147642,17.91805701,20.83078329,20.297493,21.36407358
Gates-BC-Rel-01,HRZE,Gates-BC-Rel-01_4wk_Grp 2: 2HRZE/3HR_LG C,5814,mouse,On Treatment,28,28,0,103000,56305384.59,NA,NA,2,10,15014.76922,2,17.38476672,16.85147642,17.91805701,20.83078329,20.297493,21.36407358
Gates-BC-Rel-01,HRZE,Gates-BC-Rel-01_4wk_Grp 2: 2HRZE/3HR_LG D,5815,mouse,On Treatment,28,28,0,253000,182743220,NA,NA,2,10,48731.52533,2,17.38476672,16.85147642,17.91805701,20.83078329,20.297493,21.36407358
Gates-BC-Rel-01,HRZE,Gates-BC-Rel-01_4wk_Grp 2: 2HRZE/3HR_LG E,5816,mouse,On Treatment,28,28,0,80600,276253004.1,NA,NA,2,10,73667.46775,2,17.38476672,16.85147642,17.91805701,20.83078329,20.297493,21.36407358
