"Study.name","Group","Treatment.days","Study.stage","Days.since.Tx.start","Washout.period","CFU","Culture.status","Adjusted.16S.Original","T50","T50_ci_low","T50_ci_up","T95","T95_ci_low","T95_ci_up","T95_SE"
"Gates-BC-Rel-01","BPaMZ",42,"On Treatment",42,"no washout",1.63,"Negative",23800598,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",42,"On Treatment",42,"no washout",1.63,"Negative",26393623,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",42,"On Treatment",42,"no washout",1.63,"Negative",36615626,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",42,"On Treatment",42,"no washout",1.63,"Negative",57862905,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",21,"On Treatment",21,"no washout",37.5,"Positive",326740674,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",42,"On Treatment",42,"no washout",1.63,"Negative",46881664,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",7,"On Treatment",7,"no washout",1410000,"Positive",2148318568,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",7,"On Treatment",7,"no washout",1030000,"Positive",2546476536,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",7,"On Treatment",7,"no washout",2340000,"Positive",3602065876,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",14,"On Treatment",14,"no washout",2250,"Positive",567791163,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",14,"On Treatment",14,"no washout",3500,"Positive",987835631,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",14,"On Treatment",14,"no washout",4750,"Positive",629472209,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",42,"On Treatment",42,"no washout",1.63,"Negative",39868723,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","HRZE",7,"On Treatment",7,"no washout",6800000,"Positive",1400482194,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"Gates-BC-Rel-01","HRZE",7,"On Treatment",7,"no washout",6090000,"Positive",1582044948,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"Gates-BC-Rel-01","HRZE",7,"On Treatment",7,"no washout",10800000,"Positive",796696625,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"Gates-BC-Rel-01","HRZE",14,"On Treatment",14,"no washout",1410000,"Positive",575829646,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"Gates-BC-Rel-01","HRZE",14,"On Treatment",14,"no washout",3520000,"Positive",921010949,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"Gates-BC-Rel-01","HRZE",14,"On Treatment",14,"no washout",1920000,"Positive",878139866,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"Gates-BC-Rel-01","HRZE",14,"On Treatment",14,"no washout",2720000,"Positive",921540184,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"Gates-BC-Rel-01","HRZE",14,"On Treatment",14,"no washout",2200000,"Positive",1052252198,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"Gates-BC-Rel-01","HRZE",21,"On Treatment",21,"no washout",984000,"Positive",146604589,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"Gates-BC-Rel-01","HRZE",21,"On Treatment",21,"no washout",844000,"Positive",112774427,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"Gates-BC-Rel-01","HRZE",21,"On Treatment",21,"no washout",13900,"Positive",113851598,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"Gates-BC-Rel-01","HRZE",21,"On Treatment",21,"no washout",703000,"Positive",182702228,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"Gates-BC-Rel-01","HRZE",21,"On Treatment",21,"no washout",1080000,"Positive",245353249,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"Gates-BC-Rel-01","HRZE",21,"On Treatment",21,"no washout",844000,"Positive",354208248,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"Gates-BC-Rel-01","HRZE",28,"On Treatment",28,"no washout",107000,"Positive",273204311,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"Gates-BC-Rel-01","HRZE",14,"On Treatment",14,"no washout",2110000,"Positive",802630560,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"Gates-BC-Rel-01","HRZE",28,"On Treatment",28,"no washout",103000,"Positive",56305385,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"Gates-BC-Rel-01","HRZE",28,"On Treatment",28,"no washout",253000,"Positive",182743220,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"Gates-BC-Rel-01","HRZE",28,"On Treatment",28,"no washout",80600,"Positive",276253004,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"Gates-BC-Rel-01","HRZE",28,"On Treatment",28,"no washout",116000,"Positive",380039416,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"Gates-BC-Rel-01","HRZE",98,"On Treatment",98,"no washout",3.26,"Positive",18282722,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"Gates-BC-Rel-01","HRZE",98,"On Treatment",98,"no washout",3.26,"Positive",22175807,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
